"key","en — English","ru — Русский","ca — Català","de — Deutsch","el — Ελληνικά","es — Español","fr — Français","id — Bahasa Indonesia","it — Italiano","ja — 日本語","nl — Nederlands","oc — Occitan","pt_BR — Português (Brasil)","sv — Svenska","tr — Türkçe","zh_Hans — 简体中文","zh_Hant — 繁體中文"
"BoardsSwitcher.Title","Find Boards","Найти доски","Busca taulells","Finde Boards","","Encontrar tableros","Rechercher des tableaux","","Trova bacheche","Board検索","Boards vinden","","Encontrar boards","Hitta board","Pano arama","查找板块","尋找看板"
"Calculations.Options.average.displayName","Average","Среднее","Promig","Durchschnitt","","Promedio","Moyenne","","Media","平均","Gemiddeld","","Média","Genomsnitt","Ortalama","平均","平均"
"Calculations.Options.average.label","Average","Среднее","Promig","Durchschnitt","","Promedio","Moyenne","","Media","平均","Gemiddeld","","Média","Genomsnitt","Ortalama","平均","平均"
"Calculations.Options.count.displayName","Count","Итого","","Zählen","","Contar","Compter","","Conta","カウント","Aantal","","Total","Räkna","Sayı","计数","數量"
"Calculations.Options.count.label","Count","Итого","","Zählen","","Contar","Compter","","Conta","カウント","Aantal","","Total","Räkna","Sayı","计数","數量"
"Calculations.Options.countChecked.displayName","Checked","Проверено","Comprovat","Geprüft","","Marcado","Coché","","Controllato","チェック済み","Aangevinkt","","Confirmado","Vald","İşaretlenmiş","选中","已選取"
"Calculations.Options.countChecked.label","Count checked","Итог проверен","","Zähle Markierte","","Contar marcados","Total coché","","Conteggio selezionati","チェック済みの数","Aantal aangevinkt","","Total de itens confirmados","Räkna valda","İşaretlenmiş sayısı","选中计数","選取數量"
"Calculations.Options.countUnchecked.displayName","Unchecked","Не проверен","","Ungeprüft","","Deseleccionado","Décoché","","Non selezionato","未チェック","Niet aangevinkt","","Não confirmado","Ej vald","İşaretlenmemiş","未选中","未選取"
"Calculations.Options.countUnchecked.label","Count unchecked","Итог не проверен","","Zähle Unmarkierte","","Contar no marcados","Total décoché","","Conteggio non selezionato","未チェックの数","Aantal niet aangevinkt","","Total de itens não confirmados","Räkna ej valda","İşaretlenmemiş sayısı","未选中计数","未選取數量"
"Calculations.Options.countUniqueValue.displayName","Unique","Уникальный","Únic","Eindeutig","","Único","Unique","","Unico","ユニーク","Uniek","","Único","Unika","Eşsiz","唯一","唯一值"
"Calculations.Options.countUniqueValue.label","Count unique values","Итого уникальных значений","Compta valors únics","Zähle eindeutige Werte","","Contar valores únicos","Compter les valeurs uniques","","Conta i valori unici","ユニーク値の数","Tel unieke waarden","","Total de valores únicos","Räkna unika värden","Eşsiz değer sayısı","唯一值计数","唯一值數量"
"Calculations.Options.countValue.displayName","Values","Значения","Valors","Werte","","Valores","Valeurs","","Valori","値","Waarden","","Valores","Värden","Değer","值","值"
"Calculations.Options.countValue.label","Count value","Итоговое значение","","Zähle Wert","","","Calculer la valeur","","Conteggio valori","値の数","Aantal waarden","","Valor total","Räkna värden","Değer sayısı","值计数","總計"
"Calculations.Options.dateRange.displayName","Range","Диапазон","Rang","Bereich","","Rango","Il y a","","Intervallo","範囲","Bereik","","Período","Intervall","Aralık","范围","區間"
"Calculations.Options.dateRange.label","Range","Диапазон","Rang","Bereich","","Rango","Intervalle","","Intervallo","範囲","Bereik","","Alcance","Intervall","Aralık","范围","區間"
"Calculations.Options.earliest.displayName","Earliest","Ранний","Proper","Früheste","","Más antiguo","Plus ancien","","Primo","最初","Vroegste","","Mais antigo","Tidigast","En erken","最早的","最前的"
"Calculations.Options.earliest.label","Earliest","Ранний","Proper","Früheste","","Más antiguo","Plus ancien","","Primo","最初","Vroegste","","Mais antigo","Tidigast","En erken","最早的","最前的"
"Calculations.Options.latest.displayName","Latest","Последний","Últim","Neueste","","Último","Plus récent","","Ultimo","最新","Laatste","","Mais recente","Senast","En geç","最新的","最後的"
"Calculations.Options.latest.label","Latest","Последний","Últim","Neueste","","Último","Plus récent","","Ultimo","最新","Laatste","","Mais recente","Senast","En geç","最新的","最後的"
"Calculations.Options.max.displayName","Max","Максимальный","Màxim","Max","","Máx","Maximum","","Massimo","最大","Maximum","","Máx","Max","En fazla","最大的","最大的"
"Calculations.Options.max.label","Max","Максимальный","Màxim","Max","","Máx","Maximum","","Massimo","最大","Maximum","","Máx","Max","En fazla","最大的","最大的"
"Calculations.Options.median.displayName","Median","Медиана","","Median","","Mediana","Médiane","","Mediana","中央値","Mediaan","","Mediana","Median","Orta değer","中位数","中位數"
"Calculations.Options.median.label","Median","Медиана","","Median","","Mediana","Médiane","","Mediana","中央値","Mediaan","","Mediana","Median","Orta değer","中位数","中位數"
"Calculations.Options.min.displayName","Min","Минимальный","Mínim","Min","","Mín","Minimum","","Minimo","最小","Minimum","","Min","Min","En az","最小的","最小的"
"Calculations.Options.min.label","Min","Минимальный","Mínim","Min","","Mín","Minimum","","Minimo","最小","Minimum","","Min","Min","En az","最小值","最小的"
"Calculations.Options.none.displayName","Calculate","Вычислить","Calcula","Berechnen","","Calcular","Calculer","","Calcola","計算","Bereken","","Calcular","Beräkna","Hesapla","计算","計算"
"Calculations.Options.none.label","None","Ничто","Cap","Keine","","Ninguna","Aucun","","Nulla","なし","Geen","","Nenhum","Ingen","Yok","无","無"
"Calculations.Options.percentChecked.displayName","Checked","Проверено","Completat","Geprüft","","Marcado","Coché","","Controllato","チェック済み","Aangevinkt","","Verificado","Avbockad","İşaretlenmiş","已选中","已選取"
"Calculations.Options.percentChecked.label","Percent checked","Процент проверенных","Percentatge completat","Prozentsatz Markiert","","Porcentaje marcado","Pourcentage coché","","Percentuale selezionata","チェック済みの割合","Percentage aangevinkt","","Porcentagem verificada","Procent avbockade","İşaretlenmiş yüzdesi","已选中的百分比","已選取百分比"
"Calculations.Options.percentUnchecked.displayName","Unchecked","Непроверенный","No finalitzat","Ungeprüft","","Desmarcado","Décoché","","Non selezionato","未チェック","Niet aangevinkt","","Não verificado","Ej avbockad","İşaretlenmemiş","未选中","未選取"
"Calculations.Options.percentUnchecked.label","Percent unchecked","Процент непроверенных","Percentatge no finalitzat","Prozentsatz Unmarkiert","","Porcentaje desmarcado","Pourcentage décoché","","Percentuale non selezionata","未チェックの割合","Percentage niet aangevinkt","","Porcentagem não verificada","Procent ej avbockade","İşaretlenmemiş yüzdesi","未选中的百分比","未選取百分比"
"Calculations.Options.range.displayName","Range","Диапазон","Rang","Bereich","","Rango","Curseur","","Intervallo","範囲","Bereik","","Alcance","Intervall","Aralık","范围","範圍"
"Calculations.Options.range.label","Range","Диапазон","Rang","Bereich","","Rango","Curseur","","Intervallo","範囲","Bereik","","Período","Intervall","Aralık","范围","範圍"
"Calculations.Options.sum.displayName","Sum","Сумма","Suma","Summe","","Suma","Somme","","Somma","合計","Som","","Soma","Summa","Toplam","总计","總和"
"Calculations.Options.sum.label","Sum","Сумма","Suma","Summe","","Suma","Somme","","Somma","合計","Som","","Soma","Summa","Toplam","总计","總和"
"Calendar.nextMonth","Next month","Следующий месяц","","","","","","","","","","","","","","",""
"Calendar.previousMonth","Previous month","Предыдущий месяц","","","","","","","","","","","","","","",""
"CalendarCard.untitled","Untitled","Без названия","Sense títol","Ohne Titel","","Sin título","Sans titre","","Senza titolo","無題","Titelloos","","Sem título","Saknar titel","Adlandırılmamış","无内容","無標題"
"CardActionsMenu.copiedLink","Copied!","Скопировано!","Copiat!","Kopiert!","","¡Copiado!","Copié !","","Copiato!","コピーしました!","Gekopieerd!","","Copiado!","Kopierad!","Kopyalandı!","复制成功！","複製!"
"CardActionsMenu.copyLink","Copy link","Копировать ссылку","Còpia l'enllaç","Verknüpfung kopieren","","Copiar hipervínculo","Copier le lien","","Copia collegamento","リンクをコピー","Kopieer link","","Copiar link","Kopiera länk","Bağlantıyı kopyala","复制链接","複製連結"
"CardActionsMenu.delete","Delete","Удалить","Esborra","Löschen","","Eliminar","Supprimer","","Elimina","削除","Verwijderen","","Excluir","Radera","Sil","删除","刪除"
"CardActionsMenu.duplicate","Duplicate","Дублировать","Duplica","Duplizieren","","Duplicar","Dupliquer","","Duplica","複製","Dupliceren","","Duplicar","Duplicera","Kopyala","重复","重複"
"CardActionsMenu.moveToBoard","Move to a board…","Переместить на доску…","","","","","","","","","","","","","","",""
"CardBadges.title-checkboxes","Checkboxes","Флажки","","Checkboxen","","Casillas de verificación","Cases à cocher","","Checkboxes","チェックボックス","Selectievakjes","","Caixa de seleção","Kryssrutor","İşaret kutuları","Checkbox","選取框"
"CardBadges.title-comments","Comments","Комментарии","Comentaris","Kommentare","","Comentarios","Commentaires","","Commenti","コメント","Opmerkingen","","Comentários","Kommentarer","Yorumlar","评论","評論"
"CardBadges.title-description","This card has a description","У карточки есть описание","Aquesta tarjeta té una descripció","Diese Karte hat eine Beschreibung","","Esta tarjeta tiene una descripción","Cette carte a une description","","Questa scheda ha una descrizione","このカードには説明があります","Deze kaart heeft een beschrijving","","Este cartão tem uma descrição","Detta kort har en beskrivning","Bu kartın bir açıklaması var","此卡片有描述内容","此卡片有說明"
"CardDetail.Attach","Attach","Прикрепить","Adjunta","Anhängen","","Adjuntar","","","","添付","Toevoegen","","Anexar","Bifoga","Dosya ekle","附加","附加"
"CardDetail.add-content","Add content","Добавить контент","Afegeix contingut","Inhalt hinzufügen","Προσθήκη περιεχομένου","Añadir contenido","Ajouter du contenu","Tambahkan isi","Aggiungi contenuto","内容を追加する","Inhoud toevoegen","Apondre contengut","Adicionar conteúdo","Lägg till innehåll","İçerik ekle","新增内容","新增內容"
"CardDetail.add-icon","Add icon","Добавить иконку","Afegeix icona","Symbol hinzufügen","Προσθήκη εικονιδίου","Añadir icono","Ajouter une icône","Tambahkan ikon","Aggiungi icona","アイコンを追加する","Pictogram toevoegen","Apondre una icòna","Adicionar ícone","Lägg till ikon","Simge ekle","新增图标","新增圖示"
"CardDetail.add-property","+ Add a property","+ Добавить свойство","+ Afegeix propietat","+ Eigenschaft hinzufügen","","+ Añadir propiedad","+ Ajouter une propriété","+ Tambahkan properti","+ Aggiungi una proprietà","+ プロパティを追加","+ Een eigenschap toevoegen","+ Apondre una proprietat","+ Adicionar propriedade","+ Lägg till egenskap","+ Bir özellik ekle","+ 新增属性","+ 新增屬性"
"CardDetail.addCardText","add card text","добавить текст карточки","afegeix text a la targeta","Kartentext hinzufügen","","agregar texto a la tarjeta","ajouter une carte texte","tambahkan teks kartu","aggiungi testo alla scheda","カードテキストを追加する","kaarttekst toevoegen","apondre una zòna de tèxt","adicionar texto ao card","lägg till korttext","kart metni ekle","新增卡片文本","新增卡片文本"
"CardDetail.limited-body","Upgrade to our Professional or Enterprise plan to view archived cards, have unlimited views per boards, unlimited cards and more.","Перейдите на наш тарифный план Professional или Enterprise, чтобы просматривать архивные карточки, иметь неограниченное количество просмотров для каждой доски, неограниченное количество карточек и многое другое.","","Aktualisiere auf unseren Professional oder Enterprise Plan.","","Mejorar a nuestro plan Professional o Enterprise.","Passez à notre offre Professionnel ou Entreprise pour afficher les cartes archivées, avoir des vues illimitées par tableau, des cartes illimitées et plus encore.","","","ProfessionalプランまたはEnterpriseプランにアップグレードしてください。","Upgrade naar ons Professional- of Enterprise-plan.","","Atualize para nosso plano Professional ou Enterprise.","Uppgradera till Professional- eller Enterprise-abonnemang.","Professional ya da Enterprise tarifesine geçin.","升级到我们的专业或企业计划。","升級到專業版或是企業版"
"CardDetail.limited-button","Upgrade","Обновление","","Aktualisiere","","Mejorar","Mise à niveau","","Aggiorna","アップグレード","Upgraden","","Upgrade","Uppgradera","Üst tarifeye geç","升级","升級"
"CardDetail.limited-title","This card is hidden","Эта карточка скрыта","","Diese Karte ist versteckt","","Esta tarjeta está oculta","Cette carte est masquée","","Questa scheda è nascosta","このカードは表示できません","Deze kaart is verborgen","","Este cartão está oculto","Detta kort är dolt","Bu kart gizli","这张卡片是隐藏的","此卡片被影藏"
"CardDetail.moveContent","Move card content","переместить содержимое карты","Mou el contingut de la targeta","Karteninhalt verschieben","","Mover contenido de la tarjeta","Déplacer le contenu de la carte","pindahkan isi kartu","Sposta il contenuto della scheda","カード内容の移動","Inhoud van de kaart verplaatsen","desplaçar contengut de la carta","Mover conteúdo do cartão","Flytta kortinnehåll","Kart içeriğini taşı","移动卡片内容","移動卡片內容"
"CardDetail.new-comment-placeholder","Add a comment...","Добавить комментарий...","Afegeix un comentari...","Kommentar hinzufügen...","Προσθήκη σχολίου ...","Añadir un comentario...","Ajouter un commentaire...","Tambahkan komentar...","Aggiungi un commento...","コメントを追加する...","Voeg commentaar toe...","Apondre un comentari...","Adicionar um comentário...","Lägg till kommentar...","Bir yorum ekle...","新增评论...","新增評論…"
"CardDetailProperty.confirm-delete-heading","Confirm delete property","Подтвердить удаление свойства","","Eigenschaft löschen bestätigen","","Confirmar eliminación de la propiedad","Confirmer la suppression de la propriété","","Conferma l'eliminazione della proprietà","プロパティの削除を確定する","Bevestig verwijderen eigenschap","","Confirmar exclusão da propriedade","Bekräfta ta bort egenskap","Özelliği silmeyi onaylayın","确认删除此属性","確認刪除屬性"
"CardDetailProperty.confirm-delete-subtext","Are you sure you want to delete the property ""{propertyName}""? Deleting it will delete the property from all cards in this board.","Вы действительно хотите удалить свойство ""{propertyName}""? При его удалении свойство будет удалено со всех карточек на этой доске.","","Bist du sicher, dass du die Eigenschaft ""{propertyName}"" löschen möchtest? Wenn du diese löscht, wird die Eigenschaft von allen Karten in diesem Board gelöscht.","","¿Estás seguro de que quieres eliminar la propiedad ""{propertyName}""? Al eliminarla también se removerá la propiedad en todas las tarjetas de este tablero.","Êtes-vous sûr de vouloir supprimer la propriété « {propertyName} » ? La suppression retirera la propriété de toutes les cartes dans ce tableau.","","Sei sicuro di voler eliminare la proprietà ""{propertyName}""? Rimuovendola, verranno eliminate le proprietà da tutte le carte in questa board.","本当にプロパティ ""{propertyName}"" を削除しますか？ 削除すると、このBoardのすべてのカードからそのプロパティが削除されます。","Weet je zeker dat je de eigenschap ""{propertyName}"" wilt verwijderen? Dit verwijderen zal de eigenschap van alle kaarten in dit bord verwijderen.","Volètz vertadièrament suprimir la proprietat « {propertyName} » ? La supression levarà la proprietat de totas las cartas d’aquesta tablèu.","Tem certeza que quer excluir a propriedade ""{propertyName}""? Deletando-a excluirá a propriedade de todos os cards nessa board.","Är du säker på att du vill ta bort egenskapen ""{propertyName}""? Om du raderar den kommer egenskapen tas bort från alla kort på tavlan.","""{propertyName}"" özelliğini silmek istediğinize emin misiniz? Bu işlem özelliği panodaki tüm kartlardan siler.","确定要删除属性：{propertyName}？也会同时删除这个版面中所有其他卡片的属性。","您確定要刪除屬性“{propertyName}”嗎？ 刪除它會從該板的所有卡中刪除該屬性。"
"CardDetailProperty.confirm-property-name-change-subtext","Are you sure you want to change property ""{propertyName}"" {customText}? This will affect {numOfCards, plural, one {a value on # card} other {values across # cards}} in this board, and can result in data loss.","Вы действительно хотите изменить свойство ""{propertyName}"" {customText}? Это затронет {numOfCards, plural, one {значение на # карточке} few {значения на # карточках} many {значения на # карточках} other {значения на # карточках}} на этой доске и может привести к потере данных.","","Bist du sicher, dass du die Eigenschaft ""{propertyName}"" {customText} ändern möchtest? Dies wird Werte auf {numOfCards} Karten in diesem Board ändern und kann dazu führen, dass diese verloren gehen.","","¿Estás seguro de que quieres cambiar la propiedad ""{propertyName}"" {customText}? Esto puede afectar a los valores en {numOfCards} tarjeta(s) en este tablero, lo que puede resultar en una pérdida de datos.","Voulez-vous vraiment modifier le type de la propriété ""{propertyName}"" {customText} ? Cela affectera la ou les valeur(s) sur {numOfCards} carte(s) dans ce tableau et peut entraîner une perte de données.","","Sei sicuro di voler cambiare la proprietà ""{propertyName}"" {customText}? Questo influirà su {numOfCards} schede in questa bacheca e alcuni dati potrebbero andare persi.","本当にプロパティ ""{propertyName}"" の ""{customText}"" に変更しますか? これは、このBoardの{numOfCards}カード全体の値に影響し、データの損失につながる恐れがあります。","Weet je zeker dat je de eigenschap ""{propertyName}"" {customText} wilt wijzigen? Dit zal invloed hebben op de waarde(n) op de {numOfCards} kaart(en) in dit bord, en kan resulteren in data verlies.","","Tem certeza que deseja alterar propriedade ""{propertyName}"" {customText}? Isto afetará valor(es) em {numOfCards} cartão(ões) neste quadro, podendo resultar em perda de dados.","Är du säker du vill ändra egenskapen ""{propertyName}"" {customText}? Detta kommer påverka alla värden på {numOfCards} kort på den här boarden och kan innebära att du förlorar information.","""{propertyName}"" {customText} özelliğini değiştirmek istediğinize emin misiniz? Bu işlem bu panodaki {numOfCards} kartı etkiler ve veri kaybına yol açabilir.","你确定要改变属性名称""{propertyName}"" {customText}？这将影响此板块中的{numOfCards}个卡片，并可能导致数据丢失。","您確定要更改屬性“{propertyName}”{customText} 嗎？ 這將影響此板中 {numOfCards} 卡的值，並可能導致數據丟失。"
"CardDetailProperty.confirm-property-type-change","Confirm property type change","Подтвердите изменение типа свойства","","Bestätige Eigenschaftsänderung","","Confirmar cambio de tipo de la propiedad","Confirmer le changement de type de propriété","","Conferma la modifica del tipo di proprietà","プロパティ種別の変更を確定する","Bevestig wijziging type eigenschap","","Confirmar alteração de tipo de propriedade","Bekräfta ändring av egenskapstyp","Özellik türü değişimini onaylayın","确认修改此属性的类型","確認屬性變更"
"CardDetailProperty.delete-action-button","Delete","Удалить","","Löschen","","Eliminar","Supprimer","","Rimuovi","削除","Verwijderen","","Excluir","Ta bort","Sil","删除","刪除"
"CardDetailProperty.property-change-action-button","Change property","Изменить свойство","","Ändere Eigenschaft","","Modificar propiedad","Modifier la propriété","","Cambia proprietà","プロパティの変更","Wijzig eigenschap","","Alterar propriedade","Ändra egenskap","Özelliği değiştir","修改属性","變更屬性"
"CardDetailProperty.property-changed","Changed property successfully!","Свойство изменено успешно!","","Eigenschaft erfolgreich geändert!","","¡Propiedad modificada exitosamente!","Propriété modifiée avec succès !","","Cambiata proprietà con successo!","プロパティが変更されました!","Eigenschap succesvol gewijzigd!","","Propriedade alterada com sucesso!","Ändrade egenskap!","Özellik değiştirildi!","已成功修改属性！","已成功變更屬性！"
"CardDetailProperty.property-deleted","Deleted {propertyName} successfully!","{propertyName} успешно удалено!","","{propertyName} erfolgreich gelöscht!","","¡La propiedad {propertyName} ha sido eliminada exitosamente!","{propertyName} supprimé avec succès !","","{propertyName} rimossa con successo!","{propertyName} が正常に削除されました!","{propertyName} werd succesvol verwijderd!","Supression de {propertyName} reüssida !","{propertyName} excluído com êxito!","{propertyName} har raderats!","{propertyName} silindi!","成功删除 {propertyName}！","成功刪除 {propertyName}！"
"CardDetailProperty.property-name-change-subtext","type from ""{oldPropType}"" to ""{newPropType}""","тип из ""{oldPropType}"" в ""{newPropType}""","","Typ von ""{oldPropType}"" zu ""{newPropType}""","","","de ""{oldPropType}"" à ""{newPropType}""","","tipo da ""{oldPropType}"" a ""{newPropType}""","種別を ""{oldPropType}"" から""{newPropType}"" に","type van ""{oldPropType}"" naar ""{newPropType}""","","digite de ""{oldPropType}"" para ""{newPropType}""","typ från ""{oldPropType}"" till ""{newPropType}""","""{oldPropType}"" türünden ""{newPropType}"" türüne","属性的类型从""{oldPropType}"" 更改为""{newPropType}""","類型從 ""{oldPropType}"" 變更為 ""{newPropType}"""
"CardDetial.limited-link","Learn more about our plans.","Узнайте больше о наших планах.","","Erfahre mehr über unsere Pläne.","","Aprende más sobre nuestros planes.","En savoir plus sur nos offres.","","Scopri di più sui nostri piani.","各プランの詳細についてはこちらをご覧ください。","Meer informatie over onze plannen.","","Saiba mais sobre nossos planos.","Läs mer om våra abonnemang.","Tarifelerimiz hakkında ayrıntılı bilgi alın.","了解更多关于我们的计划。","了解更多我們的計畫."
"CardDialog.delete-confirmation-dialog-attachment","Confirm Attachment delete!","Подтвердите удаление вложения","","Löschen des Anhangs bestätigen","","Confirmar eliminación del archivo adjunto","","","","添付ファイルを削除する","Bevestig het verwijderen van de bijlage","","Confirmar exclusão de anexo","Bekräfta att bilagor ska raderas","Ek dosyanın silinmesini onaylayın","确认删除附件","確認刪除附件"
"CardDialog.delete-confirmation-dialog-button-text","Delete","Удалить","","Löschen","","Eliminar","Supprimer","","Elimina","削除","Verwijderen","","Excluir","Radera","Sil","删除","刪除"
"CardDialog.delete-confirmation-dialog-heading","Confirm card delete!","Подтвердите удаление карточки","","Karte löschen bestätigen","","Confirmar eliminación de la tarjeta","Confirmer la suppression de la carte !","","Conferma l'eliminazione della scheda!","カード削除の確認","Bevestig verwijderen kaart","","Confirmar exclusão do cartão","Bekräfta att kortet ska raderas","Kartı silmeyi onaylayın","确认删除卡片","確認刪除卡片"
"CardDialog.editing-template","You're editing a template.","Вы редактируете шаблон.","Estas editant una plantilla.","Du bearbeitest eine Vorlage.","","Estás editando una plantilla.","Vous éditez un modèle.","Anda sedang menyunting sebuah template.","Stai modificando un template.","テンプレートを編集しています。","Je bent een sjabloon aan het bewerken.","Sètz a modificar un modèl.","Você está editando um template.","Du redigerar en mall.","Bir kalıbı düzenliyorsunuz.","您正在编辑模板。","您正在編輯範本。"
"CardDialog.new-template-from-card","New template from card","Новый шаблон из карточки","","","","","","","","","","","","","","",""
"CardDialog.nocard","This card doesn't exist or is inaccessible.","Эта карточка не существует или недоступна.","Aquesta targeta no existeix o és innaccesible.","Diese Karte existiert nicht oder ist nicht verfügbar.","Αυτή η κάρτα δεν υπάρχει ή δεν είναι προσβάσιμη","Esta tarjeta no existe o es inaccesible.","Cette carte n'existe pas ou n'est pas accessible.","Kartu ini tidak ada atau tidak dapat diakses.","Questa scheda non esiste o è inaccessibile.","このカードは存在しないか、アクセスできません。","Deze kaart bestaat niet of is ontoegankelijk.","Aquesta zòna existís pas o es pas accessibla.","Esse cartão não existe ou não está acessível.","Detta kort existerar inte eller är oåtkomligt.","Bu kart bulunamadı ya da erişilebilir değil.","卡片不存在或者无法被存取。","卡片不存在或者無法被存取。"
"CardDialog.terminal","Terminal","Терминал","","","","","","","","","","","","","","",""
"CardTerminal.add-agent","Add an agent…","Добавить агента…","","","","","","","","","","","","","","",""
"CardTerminal.agent","Agent","Агент","","","","","","","","","","","","","","",""
"CardTerminal.choose-agent","Choose an agent…","Выберите агента…","","","","","","","","","","","","","","",""
"CardTerminal.close","Close the panel","Закрыть панель","","","","","","","","","","","","","","",""
"CardTerminal.no-stage","before the route","до маршрута","","","","","","","","","","","","","","",""
"CardTerminal.pick-project","Choose a folder to work in","Выберите папку для работы","","","","","","","","","","","","","","",""
"CardTerminal.stage-current","The stage the card is on — this conversation is open here","Карточка сейчас на этом этапе — открыт его разговор","","","","","","","","","","","","","","",""
"CardTerminal.stage-passed","A passed stage — its conversation returns if the card does","Пройденный этап — разговор вернётся, если вернётся карточка","","","","","","","","","","","","","","",""
"CardTerminal.stage-running","Still running — reachable until its CLI exits","Ещё идёт — доступен, пока CLI не завершится","","","","","","","","","","","","","","",""
"CardTerminal.start","Start the conversation","Начать разговор","","","","","","","","","","","","","","",""
"CardTerminal.title","Terminal","Терминал","","","","","","","","","","","","","","",""
"CardTerminal.window","Open in a separate window","Открыть в отдельном окне","","","","","","","","","","","","","","",""
"Categories.CreateCategoryDialog.CancelText","Cancel","Отмена","","Abbrechen","","Cancelar","Annuler","","Cancella","キャンセル","Annuleren","","Cancelar","Avbryt","İptal","取消","取消"
"Categories.CreateCategoryDialog.CreateText","Create","Создать","","Erstellen","","Crear","Créer","","Crea","作成","Aanmaken","","Criar","Skapa","Ekle","新增","新增"
"Categories.CreateCategoryDialog.Placeholder","Name your category","Назовите свою категорию","","Benenne deine Kategorie","","Pon nombre a la categoría","Nommez votre catégorie","","Nomina la tua categoria","カテゴリ名を入力してください","Geef je categorie een naam","","Nomeie sua categoria","Namnge din kategori","Kategorinize bir ad verin","命名你的类别","命名你的類別"
"Categories.CreateCategoryDialog.UpdateText","Update","Обновить","","Aktualisieren","","Actualizar","Mettre à jour","","Aggiorna","更新","Bijwerken","","Atualizar","Uppdatera","Güncelle","更新","更新"
"CenterPanel.Login","Login","Логин","","Anmeldung","","Ingresar","Connexion","","Login","ログイン","Aanmelden","","Login","Logga in","Oturum aç","登录","登入"
"CenterPanel.Share","Share","Поделиться","","Teilen","","Compartir","Partager","","Condividi","共有","Delen","","Compartilhar","Dela","Paylaş","分享","分享"
"ChangePassword.cancel","Cancel","Отмена","","","","","","","","","","","","","","",""
"ChangePassword.changePassword","Change Password","Смена пароля","","","","","","","","","","","","","","",""
"ChangePassword.changePassword-button","Change password","Сменить пароль","","","","","","","","","","","","","","",""
"ChangePassword.current-placeholder","Enter current password","Введите текущий пароль","","","","","","","","","","","","","","",""
"ChangePassword.failed","Change password failed: {error}","Не удалось сменить пароль: {error}","","","","","","","","","","","","","","",""
"ChangePassword.login-first","Log in first","Сначала войдите","","","","","","","","","","","","","","",""
"ChangePassword.new-placeholder","Enter new password","Введите новый пароль","","","","","","","","","","","","","","",""
"ChangePassword.succeeded","Password changed, click to continue.","Пароль изменён, нажмите, чтобы продолжить.","","","","","","","","","","","","","","",""
"ColorOption.selectColor","Select {color} Color","Выберите цвет {color}","","Wähle Farbe {color}","","Seleccionar {color} Color","Choisir la couleur {color}","Pilih Warna {color}","Seleziona{color} Colore","{color} 色を選択","Selecteer {color} Kleur","Seleccionar la color {color}","Selecione {color} Cor","Välj {color} färg","{color} rengi seçin","选择{color}","{color} 選擇顏色"
"ColumnBadge.action-agent","An agent works on cards dropped here","Карточку, попавшую сюда, берёт агент","","","","","","","","","","","","","","",""
"ColumnBadge.action-deploy","A card dropped here is deployed","Карточка, попавшая сюда, деплоится","","","","","","","","","","","","","","",""
"ColumnBadge.action-test","A card dropped here is tested","Карточка, попавшая сюда, тестируется","","","","","","","","","","","","","","",""
"ColumnBadge.crew","Worked by: {crew}","Разбирают: {crew}","","","","","","","","","","","","","","",""
"ColumnBadge.limit","At once: {limit}","Одновременно: {limit}","","","","","","","","","","","","","","",""
"Comment.delete","Delete","Удалить","Eliminar","Löschen","Διαγραφή","Borrar","Supprimer","Hapus","Elimina","削除","Verwijderen","Suprimir","Excluir","Radera","Sil","删除","刪除"
"CommentsList.send","Send","Отправить","Enviar","Abschicken","Αποστολή","Enviar","Envoyer","Kirim","Invia","送信","Verzenden","Enviar","Enviar","Skicka","Gönder","发送","發送"
"ConfirmPerson.search","Search...","Поиск...","","Suche...","","","","","","検索中...","Zoeken...","","Buscar...","Sök...","Arama...","搜索...","查詢..."
"ConfirmationDialog.cancel-action","Cancel","Отмена","","Abbrechen","","","Annuler","","Annulla","キャンセル","Annuleren","Anullar","Cancelar","Avbryt","İptal","取消","取消"
"ConfirmationDialog.confirm-action","Confirm","Подтвердить","","Bestätigen","","","Confirmer","","Conferma","確認","Bevestigen","","Confirmar","Godkänn","Onayla","确认","確認"
"ConfirmationDialog.title","Confirmation dialog","Диалог подтверждения","","","","","","","","","","","","","","",""
"ContentBlock.Delete","Delete","Удалить","Eliminar","Löschen","Διαγραφή","Borrar","Supprimer","Hapus","Elimina","削除","Verwijderen","Suprimir","Excluir","Radera","Sil","删除","刪除"
"ContentBlock.DeleteAction","delete","удалить","eliminar","löschen","διαγραφή","borrar","supprimer","hapus","elimina","削除する","verwijderen","suprimir","Excluir","radera","sil","删除","刪除"
"ContentBlock.addElement","add {type}","добавить {type}","afegeix {type}","{type} hinzufügen","","añadir {type}","ajouter {type}","tambahkan {type}","aggiungi {type}","{type} を追加する","voeg {type} toe","apondre {type}","adicionar {type}","lägg till {type}","{type} ekle","新增 {type}","新增 {type}"
"ContentBlock.checkbox","checkbox","флажок","casella de verificació","Checkbox","","casilla de selección","case à cocher","kotak centang","casella di controllo","チェックボックス","selectievakje","cassa de marcar","caixa de seleção","kryssrutan","işaret kutusu","复选框","復選框"
"ContentBlock.divider","divider","разделитель","divisor","Teiler","","divisor","séparateur","pembagi","divisore","仕切り","verdeler","separador","Divisor","avdelare","ayıraç","分割线","分隔線"
